id,type,subtype,Title,Image,Trigger,Alternative Trigger,Mutually exclusive with,exclusive_group,Description,expected_rarity,interest_score,desirability_rank,Notes
1,Survey Completion,completion-order,First!,1,Be the first person to complete the survey,,,completion-order,"First out the gate, this member submitted before anyone else.",Rare,Very Interesting,14,probably the owner
2,Survey Completion,completion-order,Caboose,train,Be the last person to complete the survey,,,completion-order,"Last across the line, this member submitted after everyone else.",Rare,Mildly Interesting,44,
3,Survey Completion,completion-duration,Speedrunner,Running person,Shortest completion time in cohort,Completed the survey in under 'x' minutes.,,completion-duration,"Fastest finish, this member had the shortest completion time.",Rare,Interesting,36,
4,Survey Completion,completion-duration,The Thinker,Thinker,Longest completion time in cohort,Completed the survey in over 'x' minutes.,Speedrunner,completion-duration,"Took their time, this member had the longest completion time.",Rare,Mildly Interesting,48,
5,Survey Completion,completion-window,Keener,Eye,Completed within first 24 hours,,,completion-window,"Early bird energy, this member finished within the first 24 hours.",Uncommon,Mildly Interesting,52,
6,Survey Completion,completion-window,Last-Minute Larry,stopwatch,Completed in final 24 hours,,,completion-window,"Down to the wire, this member finished in the final 24 hours.",Uncommon,Interesting,41,
7,Survey Completion,completion-time-of-day,Early Bird,Bird,Complete the survey between 4:00am-8:00am,,,completion-time,"Up with the sun, this member submitted between 4am and 8am.",Uncommon,Mildly Interesting,49,
8,Survey Completion,completion-time-of-day,Night Owl,Owl,Complete the survey between 11:00pm-4:00am,,,completion-time,"Late-night submit, this member finished between 11pm and 4am.",Uncommon,Mildly Interesting,53,
9,Survey Completion,completion-time-of-day,Prime Time,TV,Completed the survey during working hours (9am-5pm),,,completion-time,"9-to-5 energy, this member submitted during working hours.",Common,Uninteresting,62,
10,Survey Completion,completion-day,Weekend Warrior,Sun,Completed the survey on a Saturday or Sunday,,,completion-time,"Weekend win, this member submitted on a Saturday or Sunday.",Uncommon,Mildly Interesting,56,
11,Survey Completion,completion-time-of-day,Lunch Break,Sandwhich,Completed the survey between 11am - 1pm,,,completion-time,"Midday submit, this member finished between 11am and 1pm.",Common,Uninteresting,59,
12,Survey Completion,response-style,Threes all the way down,3,Selected 3 most commonly (neutral),,,response-style,"Neutral zone, this member picked 3s more than anyone else.",Uncommon,Mildly Interesting,55,
13,Survey Completion,profile-aggregate,Low Profile,sunglasses,Total sum of all trait percentiles is below the 40th percentile,,,profile-aggregate,"Low-key total, this member's trait sum fell below the 40th percentile.",Rare,Interesting,31,
14,Trait Results,trait-peak,Angel,Wings,Scores highest in Honesty-Humility,,,trait-peak,"Halo on, this member scored highest in Honesty-Humility.",Rare,Very Interesting,8,
15,Trait Results,trait-peak,Rock,Rock,Lowest Emotionality,,,trait-peak,"Steady nerves, this member scored lowest in Emotionality.",Rare,Interesting,35,
16,Trait Results,trait-peak,Sparkplug,Lightning,Highest Extroversion,,,trait-peak,"Always ready to go, this member scored highest in Extraversion.",Rare,Very Interesting,19,
17,Trait Results,trait-peak,Diplomat,dove,Highest Agreeableness,,,trait-peak,"Peacekeeper energy, this member scored highest in Agreeableness.",Rare,Interesting,28,
18,Trait Results,trait-peak,Firestarter,Flame,Lowest Agreeableness,,,trait-peak,"Spicy takes, this member scored lowest in Agreeableness.",Rare,Interesting,30,
19,Trait Results,trait-peak,The Planner,clipboard,High conscientiousness,,,trait-peak,"Checklist master, this member scored high in Conscientiousness.",Rare,Interesting,37,
20,Trait Results,trait-peak,Explorer,Compass,Highest Openness,,,trait-peak,"Curiosity unlocked, this member scored highest in Openness.",Rare,Very Interesting,13,
21,Trait Results,trait-balance,Right Down the Middle,bread,Smallest total distance from trait percentile midpoints across all traits,,,trait-balance,"Centered build, this member stayed closest to the midpoint overall.",Rare,Interesting,34,
22,Trait Results,trait-balance,Full Send,explosion,Largest total distance from trait percentile midpoints across all traits,,,trait-balance,"All-in extremes, this member strayed farthest from the midpoint overall.",Rare,Very Interesting,15,
23,Trait Results,trait-balance,Milquetoast,circle,No traits above or below 25%,,,trait-balance,"Middle lane, this member had no trait above 75 or below 25.",Rare,Mildly Interesting,46,
24,Trait Results,trait-spike,The Specialist,wrench,Score >80 or <10 percentile in at least one trait,,,trait-pattern,"Signature spike, this member had at least one trait >80 or <10.",Rare,Very Interesting,21,
25,Trait Results,trait-contrast,Walking Contradiction,?,"Within the same construct have one score >75th percentile, and one <25th percentile",,,trait-pattern,"Mixed signals, this member had a high and low within one construct.",Rare,Very Interesting,24,
26,Dark Traits,dark-peak,The Main Character,Spotlight,Highest Narcissism,,,dark-peak,"Spotlight on, this member scored highest in Narcissism.",Rare,Very Interesting,20,
27,Dark Traits,dark-peak,Chessmaster,Rook,Highest Machiavellianism,,,dark-peak,"Strategic vibe, this member scored highest in Machiavellianism.",Rare,Very Interesting,12,
28,Dark Traits,dark-peak,Ice Cube,ice cube,Highest Psychopathy,,,dark-peak,"Cool and collected, this member scored highest in Psychopathy.",Rare,Very Interesting,16,
29,Dark Traits,dark-peak,Troll Mode,gremlin face,Highest in Sadism,,,dark-peak,"Always pushing buttons, this member scored highest in Sadism.",Rare,Very Interesting,22,
